expiry,max_pain,days,expiry_date
2026-06-12,910,2,2026-06-12
2026-06-18,470,8,2026-06-18
2026-06-26,880,16,2026-06-26
2026-07-02,900,22,2026-07-02
2026-07-10,925,30,2026-07-10
2026-07-17,650,37,2026-07-17
2026-07-24,1010,44,2026-07-24
2026-08-21,620,72,2026-08-21
2026-09-18,500,100,2026-09-18
2026-10-16,540,128,2026-10-16
2026-11-20,600,163,2026-11-20
2026-12-18,380,191,2026-12-18
2027-01-15,400,219,2027-01-15
2027-03-19,560,282,2027-03-19
2027-06-17,400,372,2027-06-17
2027-09-17,430,464,2027-09-17
2027-12-17,170,555,2027-12-17
2028-01-21,490,590,2028-01-21
2028-06-16,900,736,2028-06-16
2028-12-15,440,918,2028-12-15
